date,time,type,title,description,platform,caption,asset_ref,cta,track_ref,release_ref,campaign_ref
2026-03-01,10:00 AM,post,Album Announcement,,instagram,"Big news coming 🎵 March 29th. Are you ready? #MidnightFrequencies #NewMusic",album_artwork_teaser.jpg,Pre-save link in bio,,Midnight Frequencies,Midnight Frequencies Launch
2026-03-01,10:30 AM,post,Album Announcement - TikTok,,tiktok,"Something big is coming 3/29 👀🎧 #newmusic #indieelectronic",announcement_reel_01.mp4,Link in bio,,Midnight Frequencies,Midnight Frequencies Launch
2026-03-05,12:00 PM,post,Behind the Scenes - Studio,,instagram,"Late nights in the studio brought this album to life. Here's a glimpse behind the curtain 🎛️",bts_studio_01.jpg,Pre-save now,,Midnight Frequencies,Midnight Frequencies Launch
2026-03-08,,milestone,Pre-save Campaign Launch,"Launch pre-save links across all platforms",,,,,,Midnight Frequencies,Midnight Frequencies Launch
2026-03-08,11:00 AM,post,Pre-save Now Live,,instagram,"Pre-save Midnight Frequencies now! Link in bio 🔗✨ Every pre-save counts 💜",presave_graphic.jpg,Pre-save Midnight Frequencies,,Midnight Frequencies,Midnight Frequencies Launch
2026-03-08,11:00 AM,post,Pre-save Now Live - TikTok,,tiktok,"Pre-save my new album dropping 3/29! Link in bio 🎶",presave_reel.mp4,Link in bio,,Midnight Frequencies,Midnight Frequencies Launch
2026-03-10,09:00 AM,email,Pre-save Email Blast,"Email to subscriber list with pre-save links and album teaser",email,"Midnight Frequencies drops March 29th - pre-save now for a special surprise on release day",email_header.jpg,Pre-save Now,,Midnight Frequencies,Midnight Frequencies Launch
2026-03-12,2:00 PM,post,Track Preview - Neon Pulse,,instagram,"First taste of Midnight Frequencies 🌙 'Neon Pulse' preview dropping Friday",neon_pulse_teaser.mp4,Turn on notifications,Neon Pulse,Midnight Frequencies,Midnight Frequencies Launch
2026-03-14,12:00 PM,release,Single Release - Neon Pulse,"Lead single 'Neon Pulse' available on all platforms",,,,Neon Pulse,Midnight Frequencies,Midnight Frequencies Launch
2026-03-14,12:01 PM,post,Neon Pulse Out Now,,instagram,"'Neon Pulse' is OUT NOW ⚡ Stream it everywhere. Link in bio 🔗",neon_pulse_artwork.jpg,Stream Neon Pulse,Neon Pulse,Midnight Frequencies,Midnight Frequencies Launch
2026-03-14,12:01 PM,post,Neon Pulse Out Now - TikTok,,tiktok,"'Neon Pulse' is here ⚡ Use this sound! #NeonPulse #MidnightFrequencies",neon_pulse_clip.mp4,Stream now,Neon Pulse,Midnight Frequencies,Midnight Frequencies Launch
